,position_info,posted_website,education_requirement,company_url,position_type,company,company_type,position_tag,position_advantage,experience_requirement,recruiting_number,company_finance,department,position,posted_url,major_requirement,company_size,date,monthly_salary_range,recruit_count,industry
263,岗位职责1.负责设计和开发分布式爬虫和数据采集系统，完成数据采集与爬取、解析处理、入库等数据日常工作；2.负责与搜索技术相关的系统模块的设计、开发和维护工作，达到高效稳定的效果；3.负责网页信息抽取、数据清洗等研发和优化工作；4.设计爬取、调度和抽取算法，优化系统；5.负责抓取数据的深刻提取和挖掘；6.针对不同网站的反爬虫技术提出有效的应对策略；岗位要求：1、计算机、数学、统计学或相关专业本科以上学历，2年以上工作经验；2、精通Python编程语言，精通Javascript，对HTTP协议及HTML有深入的了解；3、精通正则表达式，用于从各种网络结构化和非结构化数据中抽取有用的信息；4、熟练掌握数据库开发，对数据处理和数据质量有较深认识；精通至少一种主流数据NoSQL、mysql数据库,前程无忧,本科,,,搜股（北京）科技有限公司,合资,,"五险一金,餐饮补贴,弹性工作,定期体检,绩效奖金,年终奖金",2年经验,招2人,,,大数据爬虫工程师(职位编号：189),http://jobs.51job.com/shanghai-jaq/95355779.html?s=01&t=0,,50-150人,27/12/2017,10000-20000,2,"[金融, 投资, 证券,互联网, 电子商务]"
264,职位描述：1、负责传统网页信息采集与正确解析；2、负责网页爬虫架构设计与核心技术研发；3、负责互联网资源的特征挖掘，主要对网页特征、站点结构、资源变化趋势等进行数据分析和特征建模；4．设计策略和算法，提升网页抓取的效率和质量，进一步解决系统的网页排重、垃圾控制、资源划分等问题；5、负责网络爬虫平台的维护工作。岗位职责：1、良好的JAVA编程经验，熟悉网络爬虫原理和策略；2、熟练掌握网页抓取原理及技术、正则表达式、多线程、HTTP协议，能从结构化的和非结构化的数据中获取信息；3、熟悉爬虫、种子、解析、下载、去重、提取、过滤、调度、DNScache、异步处理等概念和过程，能够熟练配置解析模板；4、熟悉Nutch/Heritrix/larbin/HtmlParser/HttpClient/Jsoup中的一种或多种开源技术；5、能够有效分析并处理技术问题；6、具备良好的表达和沟通能力,前程无忧,本科,,,善林（上海）金融信息服务有限公司,民营公司,,"五险一金,免费班车,员工旅游,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,定期体检,弹性工作",2年经验,招2人,,,爬虫开发工程师(幸福钱庄),http://jobs.51job.com/shanghai/90271569.html?s=01&t=0,,10000人以上,27/12/2017,10000-15000,2,"[金融, 投资, 证券]"
265,"该职位：爬虫工程师，为成都链科信息科技有限公司（链科网）招聘岗位工作职责1.负责高质量、稳定的网络爬虫书写；2.负责爬虫进程调度、数据抓取和数据存储等；3.负责数据清洗，数据存储维护；4.对数据爬取，调度，存储，清洗等进行框架搭建。岗位要求1.熟悉python语言,熟悉HTTP协议，熟悉Requests,lxml等爬虫需要应用的模块；2.熟悉基于正则表达式，HTML，JS，AJAX等网页信息抽取技术3.至少有一年以上网络爬虫开发经验或者有志与成为一个爬虫工程师者；4.熟悉使用至少一种关系型数据库MySQL、Oracle等，熟悉NoSQl、hbase、Mongo中任意一个；5.有数据挖掘或者AI算法经验者优先；6.具有大数据处理经验者优先；7.有较强的学习能力、团队精神以及良好的工作态度。",前程无忧,本科,,,电子科技大学成都研究院,事业单位,,五险一金,1年经验,招3人,,,爬虫工程师（链科网）(职位编号：链科01-0808),http://jobs.51job.com/chengdu-pdq/92609125.html?s=01&t=0,,50-150人,27/12/2017,9000-15000,3,"[互联网, 电子商务,政府, 公共事业]"
266,职位诱惑：待遇优厚职位描述：1.负责多平台信息爬取和页面内容的提取分析;2.参与爬虫系统的架构设计和研发，独立进行抓取和清洗工作;3.负责大规模数据爬虫的性能优化工作;4.负责高性能分布式下载模块设计与维护;岗位要求1.一年以上实际爬虫开发、内容提取工作经验；能独立解决实际开发过程碰到的各类问题；2.熟悉C++、Python、Golang等编程语言；3.深入了解Http协议和web登录认证机制，熟悉web前端，可读懂js代码；4.了解多线程、多进程、网络通信编程相关知识，有过海量数据爬取经验、清洗项目经验；5.掌握网页抓取原理及技术，了解基于Session的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；6.了解APP模拟及接口验签破解技术，了解APP用户授权访问机制，掌握Selenium，APP破解技术优先；,前程无忧,本科,,,北京一览科技有限公司,民营公司,,"五险一金,餐饮补贴,弹性工作,补充医疗保险",2年经验,招若干人,,,高级网络爬虫工程师,http://jobs.51job.com/beijing-cyq/96354521.html?s=01&t=0,,150-500人,27/12/2017,20000-40000,0,"[计算机软件,互联网, 电子商务]"
267,"无爬虫项目经验者，勿投简历。岗位描述：1、分布式网络爬虫系统的设计及开发2、互联网站、网页、链接的特征挖掘，进行网页抓取、数据提取、清洗、入库；3、负责爬虫核心算法的策略优化研究，充分利用资源，避免限制；4、优化搜索、匹配、抓取等关键程序的性能及效率。任职要求：1、3年以上java经验,有爬虫开发经验,熟练应用多线程技术.2、熟练使用正则表达式、csspath、xpath等，能够从结构化的和非结构化的数据中获取信息；3、熟练使用MongoDB,Mysql数据库4、熟练一种开源爬虫框架，如scrapy、webmagic、nutch、heritrix等，有开发爬虫框架经验优先；熟悉反爬虫、验证码识别技术者优先；5、具有数据挖掘、自然语言处理、信息检索、机器学习背景者优先；",前程无忧,,,,广东巨细信息科技有限公司,民营公司,,"五险一金,员工旅游,餐饮补贴,年终奖金,股票期权",3-4年经验,招1人,,,Java工程师(爬虫),http://jobs.51job.com/dongguan/89250844.html?s=01&t=0,,50-150人,27/12/2017,6000-8000,1,"[互联网, 电子商务,计算机软件]"
268,职位描述：1.负责设计和开发网络爬虫系统，进行电商或社会化媒体等平台信息的抓取和分析；2.设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3.能独立解决实际开发过程碰到的各类问题。任职要求：1.本科及以上学历，2年以上爬虫相关工作经验；2.熟练python、java等编程语言，有1年以上的scrapy框架开发经验；3.熟悉linux操作系统，了解web及相关技术和原理；4.熟练运用正则表达式和xpath表达式；5.熟练使用mysql数据库，熟悉redis等nosql数据库；6.构建过分布式爬虫系统者优先。,前程无忧,本科,,,广州棒谷科技股份有限公司,民营公司,,"五险一金,定期体检,专业培训,员工旅游,年终奖金",无工作经验,招2人,,,爬虫工程师--大数据,http://jobs.51job.com/guangzhou-byq/90006377.html?s=01&t=0,,1000-5000人,27/12/2017,10000-25000,2,"[互联网, 电子商务,贸易, 进出口]"
269,"岗位职责：1、负责数据采集与爬取、解析处理、入库及备份等数据日常工作；2、负责分析新的数据需求,完成数据处理的设计和实现；3、负责数据的整理、整合及合并等工作；岗位要求：1、精通web抓取原理及技术，从结构化和非机构化数据中获取信息；2.3年以上PHP开发经验，有爬虫经验系统设计开发及优化经验优先考虑；3.精通Html、JavaScript、XML等知识，熟悉前端异步请求方式；4、熟悉一种或多种开源技术；5、具备一定的数据挖掘能力；",前程无忧,大专,,,中车电商（浙江）科技有限公司,民营公司,,"五险一金,员工旅游,餐饮补贴,绩效奖金,年终奖金,股票期权",3-4年经验,招2人,,,爬虫工程师,http://jobs.51job.com/hangzhou-jgq/86488246.html?s=01&t=0,,50-150人,27/12/2017,10000-20000,2,"[互联网, 电子商务]"
270,"职位描述：1、对指定的多个网站进行网页抓取、数据提取；负责网络数据抓取规划、清洗以及汇总的开发工作；2、负责特殊网页采集任务的分析及采集方案设计；3、参与爬虫架构设计和研发，满足产品中数据抓取的要求；4、参与爬虫核心算法和策略优化研究；5、抓取调度和策略优化，实时监控爬虫的进度和警报反馈；6、爬虫核心系统,数据平台的研发维护。岗位要求：1、本科及以上学历，计算机相关专业；3年以上开发经验，2年以上Hadoop相关工作经验；2、具有数据挖掘、信息检索、机器学习开发经验；3、精通HTML语言，熟悉JS，Ajax，熟悉Lucene、Nutch、Heritrix、larbin、HtmlParse、Scrapy、Crawler4j、WebMagic、WebCollector等开源工具；4、精通网页抓取原理及技术，从结构化的和非结构化的数据中获取信息；5、熟练使用一门以上脚本语言(PHP/PYTHON/JAVA/Node.js/SQL/R语言等)；6、熟练Hadoop大数据平台的核心框架(HDFS,Pig,Hive,Sqoop,oozie,Zookeeper,Spark,Storm,Kafka等)；7、精通网络编程，熟悉HTTP传输协议，能模拟浏览器操作爬虫；8、有丰富Java/Python开发经验者优先；熟悉MySQL、Oracle及有集群数据库开发经验者优先。9、具备web挖掘等搜索引擎相关知识，有从事网络爬虫、网页去重、网页信息抽取的经验。以解决技术难题为乐，对程序完美有偏执追求；具有团队精神，有想法，敢于挑战自我。职能类别：高级软件工程师互联网软件开发工程师关键字：网络数据爬虫数据抓取分析",前程无忧,本科,,,上海天航旅游咨询有限公司,民营公司,,"五险一金,员工旅游,绩效奖金,年终奖金",无工作经验,招若干人,,,网络爬虫及数据平台高级开发工程师,http://jobs.51job.com/shanghai-ptq/86782402.html?s=01&t=0,,少于50人,27/12/2017,15000-20000,0,"[酒店, 旅游,航天, 航空]"
271,岗位描述：1、参与公司所需的爬虫系统架构设计、数据库设计；2、负责网络爬虫的核心技术研究和开发，参与各种核心搜索策略、算法、数据聚类、重组的设计与开发；3、对互联网海量业务进行整合、分析挖掘4、能够快速且有效的进行数据清洗语文本挖掘5、与技术团队进行沟通，负责爬虫数据与业务系统的整合对接6、负责爬虫数据的策略开发，支持风险业务决策岗位要求：1、计算机相关专业，5年以上Java、python或C/C++开发经验，熟悉常用的信息抓取策略和数据重组算法；2、精通Python或者JAVA语言，熟悉网络编程；3、精通关系型数据库的开发和了解Mongodb、HBase、HIVE等NoSQL数据库；4、熟悉大规模网页爬取，深度网页爬取，熟悉Nutch、Scrapy、Lucene、Heritrix、Solr、Sphinx等工具5、熟悉大规模系统的负载均衡、缓存、网络存储、网络安全、数据库高可用设计及性能评估机制。,前程无忧,本科,,,湖南蓝海购企业策划有限公司,民营公司,,"五险一金,补充医疗保险,员工旅游,专业培训,年终奖金,绩效奖金,弹性工作",5-7年经验,招若干人,,,数据爬虫高级工程师（上海）,http://jobs.51job.com/shanghai/97105916.html?s=01&t=0,,50-150人,27/12/2017,15000-45000,0,"[房地产,互联网, 电子商务]"
272,工作内容：1.生产系统后台工具开发。2.解决生产环境数据相关的突发问题。3.数据处理的方案制定以及数据的迁移、运算。4.各种业务相关数据抓取和研究分析。5.配合数据挖掘部门，共同实施大数据处理方案。任职资格:1.精通Python语言或java语言。（两种中的一种）2.熟悉MVC结构，熟练使用Spring、Django等开源技术框架，对其设计理念有一定的理解。3.熟悉数据库开发，具有MySQL或者SQLServer、Oracle数据库开发经验。4.能够快速的写出较为优化的SQL。5.对NoSQL技术有一定的使用经验，redis/MongoDB/memcached等。6.熟悉Linux操作平台，及常用的Web服务器（Tomcat/JBoss/WebLogic），熟悉HTTP等网络通信协议。7.熟悉Maven、Jenkins等持续构建集成工具。8.思维缜密，心思细腻，逻辑性较强者优先。9.有大数据处理经验优先。,前程无忧,,,,北京译泰教育科技有限公司,民营公司,,"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,股票期权,弹性工作,定期体检",无工作经验,招3人,,,数据处理工程师（python爬虫）,http://jobs.51job.com/beijing/92144107.html?s=01&t=0,,50-150人,27/12/2017,10000-15000,3,"[教育, 培训, 院校,互联网, 电子商务]"
273,职位描述：1、负责设计和开发分布式网络爬虫系统，进行电商及社会化媒体等平台信息的抓取和分析；2、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、负责部门数据库的管理及优化任职资格：1、具有实际爬虫开发、内容提取工作经验2年以上2、精通信息抓取和整合技术，从结构化的和非结构化的数据中获取信息3、熟悉SQLServer、MySQL、Oracle等任何一个主流数据库4、有过分布式抓取经验、熟悉数据库调优和海量数据存储经验优先5、具有自然语言处理、信息检索、机器学习等数据挖掘背景者优先你极关心的的福利：五险一金，商业保险，年度国外旅游，年度体检，年底双薪/年度奖金（一年13~14薪），午餐/晚餐补贴，交通补贴，下午茶/水果每周供应，扁平化管理。,前程无忧,本科,,,广州市原象广告有限公司,民营公司,,"五险一金,餐饮补贴,年终奖金,弹性工作,定期体检,免费下午茶,出国旅游,上班不打卡",3-4年经验,招若干人,,,高级爬虫工程师,http://jobs.51job.com/guangzhou-hzq/72282818.html?s=01&t=0,,150-500人,27/12/2017,10000-15000,0,"[广告,互联网, 电子商务]"
274,"一：岗位职责：1、负责Python课程体系设计和完善；2、负责Python课程的讲授；3、完成领导交办的其它工作。任职要求：1.至少2年以上Python编程经验；2.熟练运用Python语言及常用模块；3.熟悉django等常用开发框架；4.熟悉Mysql,oracle数据库中任何一种；5.熟悉HTTP,Javascript,HTML。6.熟悉树莓派设备python开发7.熟悉python机器学习实战8.精通Linux下Shell、Python两种脚本语言；9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等",前程无忧,,,,北京千锋互联科技有限公司,民营公司,,,无工作经验,招4人,,,python讲师（爬虫方向）,http://jobs.51job.com/beijing/90971014.html?s=01&t=0,,500-1000人,27/12/2017,25000-30000,4,"[教育, 培训, 院校,互联网, 电子商务]"
275,"职位描述：1、负责开发网络爬虫系统，完成数据采集与爬取、解析处理等日常工作；2、研究各种网页探寻特点和规律，负责网页信息抽取、数据清洗等研发和优化工作；3、负责网页爬虫架构设计与核心技术研发；4、负责指定app数据的抓取和分析；5、设计策略和算法，提升网页抓取的效率和质量；任职要求：1、软件工程，计算机相关专业大专或以上学历；2、两年以上大规模网页爬虫开发经验熟悉tcp，http协议原理；熟悉ajax工作原理；3、熟悉多线程、多进程、网络通信编程相关知识4、有分布式、垂直领域爬虫开发经验优先5、熟悉正则表达式，用于从各种网络结构化和非结构化数据中抽取有用的信息；6、熟悉linux平台，熟悉java主流开源框架springboot,springcloud等优先；7、熟悉搜索引擎和网络爬虫相关技术和开源工具，有反爬虫经验者优先；8、熟悉相关技术者优先，如hadoop/hbase/hive/spark,kafka、redis、rabbitMQ、mysql、mongodb等；9、具有很强的分析和解决问题的能力，攻克难题的强烈兴趣，善于学习。",前程无忧,大专,,,深圳前海增信通信息服务有限公司,民营公司,,"五险一金,员工旅游,绩效奖金,年终奖金",5-7年经验,招1人,,,爬虫研发工程师,http://jobs.51job.com/shenzhen-nsq/96647474.html?s=01&t=0,,50-150人,27/12/2017,10000-20000,1,"[计算机服务(系统、数据服务、维修),互联网, 电子商务]"
276,"岗位职责：1、参与设计/开发分布式网络爬虫2、分析众多数据源页面结构及请求/返回规律3、参与J2EE业务系统开发4、按迭代进度要求及质量要求完成开发任务任职要求：1.熟练掌握Java语言及常用开发框架2.了解网络编程.HTTP协议3.了解html、javascript、css、json、正则表达式等常见技术点4.熟悉关系数据库(如mysql)及NoSql数据库(如mongodb、redis)5.熟悉Python、Linux优先6.具备数据挖掘等搜索引擎相关知识,有从事网络爬虫.验证码图片识别.网页信息存取经验优先7.较好的编程素养,懂得敏捷开发及设计模式优先",前程无忧,,,,成都优啦信息技术有限公司,民营公司,,"五险一金,餐饮补贴,交通补贴,绩效奖金,专业培训",3-4年经验,招2人,,,Java开发工程师/爬虫工程师,http://jobs.51job.com/chengdu-gxq/90572615.html?s=01&t=0,,50-150人,27/12/2017,10000-20000,2,"[计算机软件,电子技术, 半导体, 集成电路]"
277,"岗位职责:1、负责数据平台的数据采集与爬取、解析处理、入库及备份等数据日常工作；2、数据采集工具软件平台的开发、测试工作;3、负责分析新的数据需求,完成数据处理的设计(文档)和实现；4、负责数据的清洗、整理、整合及合并等工作；5、负责数据处理程序设计框架改善,数据处理性能优化,系统数据处理的能力提高；6、负责和数据架构师、数据挖掘、分析人员协同工作,完成数据的统计、查询和分析。任职标准：1、计算机相关专业本科及以上学历，三年以上数据采集方面开发经验；2、精通网页抓取原理及技术，精通正则表达式，熟练从结构化和非结构化的数据中获取信息；3、熟悉Linux平台开发，精通java或python，熟悉tcp，http协议原理；熟悉Ajax工作原理,具备扎实的数据结构与算法功底；4、熟悉常用的反爬虫策略，有开发自动化爬虫框架经验优先，有验证码识别技术者优先；5、熟悉Mysql/MongoDB/Redis，有过数据库调优和海量数据存储经验优先；6、有数据处理和清晰经验，了解Hadoop、Spark等大数据框架和流处理技术者优先；7、具有以下信息采集经验者优先：企业工商信息，专利知识产权信息、法院判决文书等；8、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题。有强烈的上进心和求知欲，擅于学习新事物。",前程无忧,本科,,,北京一众英才信息技术有限公司,民营公司,,,3-4年经验,招1人,,,数据爬虫工程师,http://jobs.51job.com/beijing-hdq/93836670.html?s=01&t=0,,少于50人,27/12/2017,12000-18000,1,[专业服务(咨询、人力资源、财会)]
278,"岗位职责：1、负责各大网站内容爬取后，开发抽取规则，对精选内容进行批量抽取，并不断细化规则和维护整个工作的稳定性；2、负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析；3、负责网页信息抽取技术的研究和开发；4、负责解决爬取过程中的各种反爬问题。任职要求：1、熟悉网页抓取原理及技术，熟悉基于Cookie的网站登录原理，熟悉基于正则表达式、Xpath、CSS等网页信息；2、精通Python/java编程语言，精通Javascript，对HTTP协议及HTML有深入的了解；3、精通正则表达式，用于从各种网络结构化和非结构化数据中抽取有用的信息；4、熟练掌握数据库开发，对数据处理和数据质量有较深认识；精通至少一种主流数据NoSQL、mysql数据库；5、熟悉httpclient、js,ajax,webdriver、htmlunit、Nutch、selenium、ETL、HtmlParser、Jsoup，webmagic等技术优先；6、有海量数据爬取经验者优先；有爬取过微博，微信，淘宝等平台数据优先；具有自然语言处理、机器学习背景优先。",前程无忧,,,,广州优脉电子商务有限公司,民营公司,,"绩效奖金,专业培训,年终奖金,社保",无工作经验,招1人,,,python爬虫工程师,http://jobs.51job.com/guangzhou-byq/96475404.html?s=01&t=0,,50-150人,27/12/2017,8000-10000,1,"[贸易, 进出口,互联网, 电子商务]"
279,岗位职责1.基于公司内部采集框架，进行爬虫的开发和维护；2.拓展采集系统功能特性，优化效率、稳定性等；岗位要求1.对Java爬虫开发有一定的经验，熟悉数据采集流程、反爬虫等；2.熟悉HTTP协议、HTML/CSS、JavaScript、Json数据格式，掌握正则表达式；3.熟练运用chrome浏览器开发者调试工具；4.熟练使用MySQL，了解Redis使用；5.有大数据、分布式等相关经验尤佳；6.有深入研究各类爬虫框架尤佳；7.学习能力强，踏实肯干，有责任心和团队协作精神，能够独立完成对新技术或开源项目的调研和二次开发；8.本科学历以上，1-3年工作经验者优先。,前程无忧,本科,,,广州数沃信息科技有限公司,民营公司,,"五险一金,补充医疗保险,带薪年假,弹性工作,员工旅游,定期体检",1年经验,招1人,,,Java爬虫开发工程师,http://jobs.51job.com/guangzhou-thq/96842715.html?s=01&t=0,,少于50人,27/12/2017,6000-8000,1,"[计算机软件,互联网, 电子商务]"
280,工作内容：1、构建微信公众号运营数据分析模型；2、对运营各关键节点基础数据进行深度分析和挖掘；3、协助业务部门解决各类专项数据统计和分析需求；4、挖掘用户行为数据并形成分析报告，支持战略及运营策略；任职要求：1、本科及以上学历；2、数据分析岗位相关工作经历，有海量数据分析经验（互联网数据分析用户属性、行为特征方面经验优先）；3、理解数据挖掘的原理，掌握相关的算法及应用，至少掌握一种或者几种主流数据库，如MySQL、Oracle、SQLServer等，精通SQL语句，必须精通Excel软件，高效处理数据，会写Python爬虫程序优先；4、良好的逻辑分析能力，对数据敏感；有良好的书面表达和口头沟通能力，能够熟练撰写分析报告。,前程无忧,本科,,,北京远大众力机械设备有限公司,外资（欧美）,,"年终奖金,绩效奖金,专业培训",1年经验,招若干人,,,爬虫开发工程师,http://jobs.51job.com/suzhou-gyyq/97059269.html?s=01&t=0,,150-500人,27/12/2017,7000-10000,0,"[机械, 设备, 重工,计算机软件]"
281,【岗位职责】1、负责分布式网络爬虫系统的设计与开发；2、设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码等难点攻克；3、搭建高性能的技术架构，不断提升网页抓取的效率和质量；4、负责爬虫引擎日常运营工作；【岗位要求】1、全日制本科以上，计算机/信息管理/软件工程相关专业；2、扎实的Java基础，熟悉多线程编程环境，熟悉常见开源框架；3、具有构建分布式爬虫系统的经验，熟悉爬虫系统整个生命周期的设计及实现；4、具有海量高并发网页爬取，深度网页爬取项目经验；5、熟悉抓取原理及技术，能熟练使用htmlparser/jsoup/xpath/正则表达式等进行文本抽取；6、了解大数据处理框架(如：kafka/storm/hadoop等)优先考虑；7、技术眼界开拓，知识面丰富，能够潜心钻研，敢想敢干，有极客风格；8、内驱力和主动性强，能够独当一面，有较强的学习研究精神、独立分析问题和解决问题的能力。,前程无忧,本科,,,南京维数软件股份有限公司,民营公司,,"五险一金,年终奖金",2年经验,招2人,,,网络爬虫开发工程师——产品研发部招聘,http://jobs.51job.com/nanjing-glq/85763026.html?s=01&t=0,,150-500人,27/12/2017,8000-12000,2,[计算机软件]
282,任职要求：1.工作时间：单休制2.两年以上年开发经验，有较丰富的爬虫系统开发经验；3.熟悉常用数据结构及算法；4.熟悉Linux操作系统；5.熟悉HTTP协议；6.有自动化测试经验；7.优秀的分析、解决问题能力，对处理未知的、挑战性问题充满激情；8.良好的沟通能力和团队合作精神。岗位职责：1.负责爬虫系统的设计、研发与维护；2.设计爬虫策略与算法，提升抓取效果；3.持续优化系统，提高系统的稳定性及性能。,前程无忧,本科,,,南京点盈网络科技有限公司,民营公司,,"五险一金,免费班车,员工旅游,餐饮补贴,绩效奖金,年终奖金,弹性工作,专业培训",2年经验,招1人,,,爬虫算法工程师,http://jobs.51job.com/nanjing/94136492.html?s=01&t=0,,150-500人,27/12/2017,20000-30000,1,"[通信, 电信, 网络设备,互联网, 电子商务]"
283,爬虫算法工程师工作职责：1.基于电商的爬虫数据，分析市场热销商品；2.基于算法和人工编辑，对商品数据做精准的属性匹配；3.通过数据分析建立模型，对市场做销售预测；4.数据爬虫系统爬虫平台建设和优化、多平台信息的抓取和分析工作，数据抽取、清洗、计算等工作，提升平台的抓取效率；5.爬虫核心算法及调度策略的研发及优化；6.实时监控爬虫的进度和警报反馈。任职资格：1.计算机、数学、统计、模式识别或相关专业硕士及以上学历；2.至少精通一门编程语言（JAVA/Python等），精通linux系统，熟悉mysql、hadoop及相关编程；3.精通抓包工具至少一种，熟悉使用正则表达式；精通网络通信编程，网页抓取原理及技术，熟悉HTTP传输协议，能模拟各类操作爬虫；熟悉爬虫实现原理机制；对分布式和多线程技术有一定了解；4.熟悉常见机器学习算法（如逻辑回归、SVM、神经网络、决策树等），对其中一个或几个模型的原理、数学表示、优化方法、模型改进策略比较了解，有实际建模经验；5.在文本信息挖掘、内容推荐系统等一个或多个领域有实际项目经验；6.能熟练阅读中/英文机器学习领域的相关文献7.具有海量数据处理，高性能计算，大规模分布式系统开发等方面经验优先；8.熟悉爬虫框架，有爬虫经验者优先。,前程无忧,,,,上海载和网络科技有限公司,外资（非欧美）,,,2年经验,招若干人,,,爬虫算法工程师,http://jobs.51job.com/shanghai-pdxq/96854011.html?s=01&t=0,,150-500人,27/12/2017,15000-25000,0,"[互联网, 电子商务]"
284,"职位描述：1、负责网站产品前端及后端的开发与维护；2、从事核心架构部分代码的编写和单元测试，保证代码的外部以及内部质量；3、独立解决工作中遇到的技术问题，并持续跟进；任职要求：1、全日制本科及以上学历,计算机相关专业，3-5年以上工作经验；2、精通mysql等数据库的使用、精通SQL及其调优；3、精通springMVC,ibatis,mybatis,spring等常用开源框架的使用；4、精通Javascript，有前端开发经验；5、有责任心，学习能力强，适应能力好，团队合作意识好，有团队带领经验优先；",前程无忧,大专,,,上海勃池信息技术有限公司,民营公司,,"五险一金,员工旅游,餐饮补贴,专业培训,出国机会,绩效奖金,年终奖金,股票期权,弹性工作,福利多多",5-7年经验,招2人,,,爬虫工程师C#(职位编号：00006),http://jobs.51job.com/shanghai-ypq/94097199.html?s=01&t=0,,少于50人,27/12/2017,15000-30000,2,[计算机软件]
285,岗位职责：1.基于公司内部采集框架，进行模板配置、爬虫程序开发；2.参与公司分布式采集系统的新功能开发；3.支撑业务项目和产品的数据抓取需求，参与开发和扩展新的数据源。任职要求：1.掌握java编程，有多线程开发、了解JVM内存常见分析工具和调优；2.熟悉http协议，了解常见header、状态码，了解Ajax请求；3.熟悉html、javaScript、json数据格式，掌握正则表达式，熟练运用chrome浏览器开发者调试工具；4.熟悉MySQL、Redis等常见数据库的使用；5.有Hbase/Kafka/Phoenix等开发经验优先。,前程无忧,本科,,,深圳市小草互联网金融服务有限公司,民营公司,,"五险一金,补充医疗保险,补充公积金",无工作经验,招3人,,,数据爬虫工程师(职位编号：19),http://jobs.51job.com/guangzhou/96250198.html?s=01&t=0,,50-150人,27/12/2017,6000-10000,3,"[互联网, 电子商务]"
286,职位描述：1、精通爬虫相关技术，如：httpClient/jSoup/xpath/正则表达式/验证码加密处理/代理池等2、精通CoreJava相关知识，如：常用集合类/泛型/反射/IO/注解/多线程等3、掌握常用开源框架，如：Spring、MyBatis、SpringBoot等4、掌握常用数据库（如：MySQL）及相应DDL/DML，熟悉索引及常规SQL调优5、掌握常用开发管理工具及应用服务器，如：Eclipser、Maven、Git/SVN、Tomcat、Nginx等6、熟悉行为验证码识别、模拟登陆、数据清洗、去重、入库等7、熟悉HTTP协议，掌握HTML/CSS/JS/JQUERY/AJAX等相关知识8、熟悉MQ、Zookeeper、Redis等分布式和NoSQL技术9、了解Linux系统及Linux常用命令10、了解Hadoop、HBase、HDFS、KAFKA等大数据相关知识11、有运营商网站爬取或逆向经验尤佳,前程无忧,,,,上海易恒健康生物科技有限公司,民营公司,,,3-4年经验,招1人,,,爬虫开发工程师,http://jobs.51job.com/shanghai-xhq/92986870.html?s=01&t=0,,500-1000人,27/12/2017,12000-18000,1,"[互联网, 电子商务]"
287,"岗位职责：1、负责分布式爬虫系统的核心技术研究、架构设计、系统规划；2、负责爬虫核心算法的策略优化，提升网页抓取的效率和质量；3、负责研究各种网站、论坛、社交媒体实现多种媒体资源抓取实现；4、反爬策略的设计及优化；5、负责业务需求分析、系统设计、开发计划的制定与跟进；6、负责爬虫系统研发过程跟进、代码Review、质量控制；岗位要求：1、本科或以上学历，5年以上开发经验，3年以上爬虫研发管理经验；2、具有分布式爬虫系统框架设计能力，以及爬虫项目规划能力；3、熟悉网络编程、熟悉多线程机制、有过SocketHTTP网络编程项目经验；4、模拟浏览器操作爬虫，了解网页抓取原理及技术，精通正则表达式，具备网络爬虫项目经验5、具有分布式爬虫的开发以及维护工作经验，开发更具实时性以及准确性的高性能爬虫；6、具有互联网应用行业经验，具备快速学习新理念及技术,有务实的工作态度与扎实的软件开发理论基础。",前程无忧,本科,,,红石阳光（北京）科技股份有限公司,民营公司,,"五险一金,交通补贴,绩效奖金,弹性工作,股票期权",无工作经验,招1人,,,爬虫工程师,http://jobs.51job.com/beijing-hdq/97251960.html?s=01&t=0,,50-150人,27/12/2017,10000-20000,1,"[通信, 电信运营、增值服务,互联网, 电子商务]"
